RELATIONSHIP_BONDS live export 2026-08-17T04:07:05.502Z
BondId	CitizenA	CitizenB	BondType	Intensity	Status	Origin	DomainTag	Neighborhood	CycleCreated	LastUpdate	Notes	Holiday	HolidayPriority	FirstFriday	CreationDay	SportsSeason
BOND-8CD27D88	POP-00699	POP-00996	family	8	active	household		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-B972309B	POP-00700	POP-00995	family	10	active	household		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-850E9053	POP-00703	POP-00994	family	8	active	household		Temescal	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-E0FEED11	POP-00706	POP-00993	family	10	active	household		Laurel	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-C53342A6	POP-00707	POP-00992	family	10	active	household		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-A5E1A3E7	POP-00708	POP-00991	family	8	active	household		Uptown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-2C12EE8F	POP-00709	POP-00990	family	8	active	household		Temescal	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-21FF5113	POP-00710	POP-00989	family	9	active	household		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-0E3ADFBC	POP-00714	POP-00988	family	9	active	household		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-6AE638CE	POP-00715	POP-00987	family	8	active	household		Piedmont Ave	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-74542E5E	POP-00716	POP-00986	family	9	active	household		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-4F30EE71	POP-00718	POP-00985	family	9	active	household		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-E6DF89B3	POP-00722	POP-00984	family	10	active	household		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-6FB5C406	POP-00723	POP-00983	family	8	active	household		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-663AFCBC	POP-00724	POP-00982	family	8	active	household		Laurel	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-BC70F354	POP-00726	POP-00981	family	9	active	household		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-A7CC5E38	POP-00728	POP-00980	family	8	active	household		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-10574FA9	POP-00732	POP-00979	family	8	active	household		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-2B801BBC	POP-00737	POP-00978	family	9	active	household		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-F251303C	POP-00738	POP-00977	family	8	active	household		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-444DE0B7	POP-00740	POP-00976	family	8	active	household		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-0FB996BF	POP-00741	POP-00975	family	8	active	household		Temescal	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-A340C5E4	POP-00744	POP-01042	family	8	ended	household		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-32221306	POP-00744	POP-01043	family	8	ended	household		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-B0E309A8	POP-01042	POP-01043	family	8	active	household		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-F175D96B	POP-00747	POP-00750	family	9	active	household		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-63D43F84	POP-00747	POP-00974	family	9	active	household		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-66519233	POP-00750	POP-00974	family	9	active	household		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-02E4DFB5	POP-00999	POP-01044	family	9	active	household		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-BA5ED923	POP-00999	POP-01045	family	10	active	household		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-2A52F3C6	POP-01044	POP-01045	family	8	active	household		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-7E3F2D5E	POP-00476	POP-01036	friendship	5.8	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-B6226F85	POP-01001	POP-00658	friendship	6.41	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-8EC28357	POP-00017	POP-00019	friendship	3.8	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-300FD1EA	POP-00801	POP-00818	professional	5	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-C7346B84	POP-00927	POP-00481	friendship	5.8	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-09109185	POP-00759	POP-00927	professional	5	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-5728A723	POP-00016	POP-01001	friendship	5.8	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-D282EDFC	POP-00233	POP-00885	professional	4	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-4F70C0D4	POP-00304	POP-00504	professional	5	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-6E782677	POP-00842	POP-00864	professional	4	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-2148B24F	POP-00870	POP-01036	friendship	3.8	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-3FC42EBF	POP-00769	POP-00194	friendship	6.84	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-FE90DFEC	POP-00779	POP-00749	friendship	6.4	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-EF8115F1	POP-00016	POP-00885	friendship	3.8	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-97E6388A	POP-00230	POP-00476	professional	5	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-7311BAB9	POP-00121	POP-00556	friendship	4.8	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-8F2061D5	POP-00045	POP-00546	professional	5	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-2683DECB	POP-00779	POP-00040	friendship	3.8	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-947A5403	POP-00230	POP-00504	friendship	4.41	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-57C30EE3	POP-00507	POP-00364	friendship	4.8	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-BC715A61	POP-00121	POP-00842	professional	6	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-C6D24FB6	POP-00860	POP-00996	friendship	6.8	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-8ACE7771	POP-00938	POP-00927	friendship	4.8	active	neighbor		Rockridge	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-8EAE7503	POP-00788	POP-00655	friendship	3.82	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-AA0D6A66	POP-00150	POP-00205	professional	3	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-41244A0E	POP-00910	POP-00440	friendship	4.8	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-83D7839F	POP-00634	POP-00642	friendship	6.8	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-70FD7369	POP-00882	POP-00931	friendship	6.8	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-8ED81BD1	POP-00003	POP-00705	friendship	5.82	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-2CAADC43	POP-00156	POP-00725	friendship	6.8	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-92868367	POP-00935	POP-00910	professional	6	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-2AEE3713	POP-00276	POP-01017	professional	4	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-01C50AAA	POP-00690	POP-00273	friendship	4.82	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-D663DF67	POP-00655	POP-00051	friendship	3.82	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-FC56F655	POP-00458	POP-00649	professional	5	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-81144C21	POP-00053	POP-00250	friendship	3.82	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-D7D99F9A	POP-00634	POP-00493	friendship	3.8	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-6B75A231	POP-00020	POP-00678	friendship	6.41	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-206647A3	POP-00705	POP-00555	professional	4	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-D110912D	POP-00189	POP-00788	friendship	3.84	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-CF078515	POP-00250	POP-00458	professional	5	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-13015156	POP-00655	POP-00705	friendship	5.84	active	neighbor		Jack London	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-6CBC03B7	POP-00231	POP-00339	friendship	6.84	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-A592E7AD	POP-00622	POP-00800	friendship	3.8	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-7D996507	POP-00762	POP-00143	friendship	3.41	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-2F64328E	POP-00618	POP-00590	friendship	6.8	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-17FE927C	POP-00766	POP-00298	professional	3	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-14A3382B	POP-00833	POP-01016	friendship	6.8	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-29BB7A70	POP-00083	POP-00328	friendship	5.82	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-48393C67	POP-01043	POP-00762	friendship	4.82	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-19079E69	POP-00298	POP-01032	friendship	6.8	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-3408A73B	POP-01032	POP-00829	friendship	3.8	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-EDFCD2E6	POP-00795	POP-00887	friendship	6.4	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-8AA88C34	POP-01043	POP-00590	friendship	5.8	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-CFE6964A	POP-00756	POP-00728	professional	6	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-B26E75ED	POP-00876	POP-01037	friendship	4.8	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-803696A5	POP-00829	POP-00339	professional	3	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-25FD2697	POP-00231	POP-00361	professional	6	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-E189BA1F	POP-00636	POP-00325	friendship	6.82	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-BE4812D9	POP-00436	POP-00523	friendship	4.4	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-48179F85	POP-00459	POP-00633	friendship	6.8	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-42D409FD	POP-00503	POP-00929	friendship	3.8	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-F193F53A	POP-00503	POP-00940	friendship	5.8	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-D52B3B58	POP-01029	POP-00876	friendship	4.8	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-31F45E22	POP-01042	POP-01029	friendship	4.8	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-2D9EE854	POP-00518	POP-00588	friendship	4.8	active	neighbor		Fruitvale	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-90924345	POP-00748	POP-00167	friendship	6.82	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-54320949	POP-00452	POP-00711	friendship	3.82	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-23E8BF2A	POP-00167	POP-00928	professional	3	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-5CE3A956	POP-00711	POP-00928	friendship	3.82	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-8E8B128D	POP-00740	POP-00669	friendship	4.41	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-B39B9AA8	POP-00222	POP-00547	professional	6	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-4F53DB76	POP-00542	POP-00843	friendship	4.4	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-0338D71D	POP-00447	POP-00906	friendship	4.8	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-97183BF9	POP-00999	POP-00997	friendship	5.8	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-767F4F1C	POP-00939	POP-00005	friendship	6.8	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-714F8E7D	POP-00811	POP-00041	friendship	5.8	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-6B59C1A0	POP-00832	POP-01045	friendship	5.8	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-5449258A	POP-00079	POP-00363	friendship	3.41	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-F9AD45C6	POP-00363	POP-00702	professional	5	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-D4A0A434	POP-00013	POP-00871	professional	3	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-00125AC1	POP-00540	POP-00664	friendship	6.82	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-AD70EF31	POP-00748	POP-00906	friendship	3.8	active	neighbor		Lake Merritt	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-4494F271	POP-00625	POP-01014	friendship	5.4	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-3F7D5266	POP-00010	POP-01015	professional	6	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-002B9C0A	POP-00908	POP-00251	friendship	6.82	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-C8255AAB	POP-00341	POP-00007	professional	3	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-F3B4B712	POP-00341	POP-00497	friendship	4.82	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-EFE93D97	POP-00294	POP-00816	friendship	6.84	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-826DAE4A	POP-01014	POP-00803	friendship	6.8	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-2A40BFDA	POP-00989	POP-00662	professional	4	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-A788066D	POP-00350	POP-00214	friendship	4.84	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-8A030045	POP-00981	POP-00294	friendship	5.84	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-A5656DF5	POP-00010	POP-00933	friendship	6.8	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-F746F08E	POP-00214	POP-00036	professional	6	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-B0C33889	POP-00918	POP-00039	friendship	3.8	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-51739EA0	POP-00662	POP-01041	professional	3	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-DA97FEE4	POP-00010	POP-00519	friendship	6.8	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-2351F9C4	POP-00908	POP-01014	friendship	6.8	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-4900B96A	POP-00591	POP-00812	friendship	5.8	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-768EB085	POP-00246	POP-00933	friendship	6.82	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-38EECED0	POP-01014	POP-00497	professional	6	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-85E0F4A6	POP-00497	POP-00986	friendship	6.4	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-1808B4C2	POP-00923	POP-00816	friendship	5.8	active	neighbor		Chinatown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-49FBC961	POP-00275	POP-00573	friendship	4.8	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-D06561BB	POP-00758	POP-00722	professional	4	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-59B63B86	POP-01030	POP-00301	professional	3	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-58A48BD7	POP-00275	POP-00984	friendship	5.8	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-C3076508	POP-00787	POP-00675	friendship	5.82	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-4D90F1A0	POP-00201	POP-00188	friendship	6.84	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-0D1213CC	POP-00441	POP-00932	professional	3.8	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-BC647E09	POP-00357	POP-00787	friendship	6.82	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-A4A63085	POP-00301	POP-00288	friendship	6.84	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-F23077CD	POP-00037	POP-00188	professional	5	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-05DEE6AA	POP-00727	POP-00202	friendship	6.84	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-3A577BAE	POP-00797	POP-00794	professional	3	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-EE96A192	POP-00817	POP-00218	friendship	3.41	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-2E9093F7	POP-00668	POP-00037	friendship	6.84	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-B011BC53	POP-00278	POP-00722	professional	3	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-549E48F0	POP-00190	POP-00201	friendship	4.86	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-D75B6AED	POP-00573	POP-00817	friendship	4.4	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-6203B2D4	POP-00190	POP-00037	friendship	3.86	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-2BB857F6	POP-00984	POP-00521	professional	3	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-0EAD4A15	POP-01030	POP-00787	friendship	3.4	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-525BEC3C	POP-00433	POP-00456	friendship	4.4	active	neighbor		West Oakland	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-7BA7596A	POP-01022	POP-00603	friendship	6.8	active	neighbor		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-D8155881	POP-00318	POP-00091	professional	4	active	neighbor		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-08890D4F	POP-00983	POP-00474	friendship	4.8	active	neighbor		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-05D4B833	POP-00344	POP-00624	professional	6	active	neighbor		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-D11B2231	POP-00131	POP-00836	friendship	6.82	active	neighbor		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-0F834087	POP-01006	POP-00244	friendship	5.8	active	neighbor		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-C18120A0	POP-00747	POP-00637	friendship	3.8	active	neighbor		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-31F6C870	POP-00165	POP-00747	friendship	6.8	active	neighbor		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
BOND-F9B83CCC	POP-00351	POP-00685	friendship	6.82	active	neighbor		Downtown	102	102	seeded	none	none	FALSE	FALSE	off-season
